,ZIP_CODE,NAMELSAD
123,745,"San Juan-Carolina, PR CSA"
124,751,"Ponce-Coamo-Santa Isabel, PR CSA"
125,751,"San Juan-Carolina, PR CSA"
126,754,"San Juan-Carolina, PR CSA"
127,757,"Ponce-Coamo-Santa Isabel, PR CSA"
128,757,"San Juan-Carolina, PR CSA"
129,766,"Ponce-Coamo-Santa Isabel, PR CSA"
130,766,"San Juan-Carolina, PR CSA"
131,767,"San Juan-Carolina, PR CSA"
132,769,"Ponce-Coamo-Santa Isabel, PR CSA"
133,769,"San Juan-Carolina, PR CSA"
134,771,"San Juan-Carolina, PR CSA"
135,772,"San Juan-Carolina, PR CSA"
136,773,"San Juan-Carolina, PR CSA"
137,777,"San Juan-Carolina, PR CSA"
138,778,"San Juan-Carolina, PR CSA"
139,780,"Ponce-Coamo-Santa Isabel, PR CSA"
140,782,"San Juan-Carolina, PR CSA"
141,783,"San Juan-Carolina, PR CSA"
142,784,"San Juan-Carolina, PR CSA"
143,791,"San Juan-Carolina, PR CSA"
144,794,"Ponce-Coamo-Santa Isabel, PR CSA"
145,794,"San Juan-Carolina, PR CSA"
146,795,"Ponce-Coamo-Santa Isabel, PR CSA"
147,795,"San Juan-Carolina, PR CSA"
148,901,"San Juan-Carolina, PR CSA"
149,907,"San Juan-Carolina, PR CSA"
150,909,"San Juan-Carolina, PR CSA"
151,911,"San Juan-Carolina, PR CSA"
152,912,"San Juan-Carolina, PR CSA"
153,913,"San Juan-Carolina, PR CSA"
154,915,"San Juan-Carolina, PR CSA"
155,917,"San Juan-Carolina, PR CSA"
156,918,"San Juan-Carolina, PR CSA"
157,920,"San Juan-Carolina, PR CSA"
158,921,"San Juan-Carolina, PR CSA"
159,923,"San Juan-Carolina, PR CSA"
160,924,"San Juan-Carolina, PR CSA"
161,925,"San Juan-Carolina, PR CSA"
162,926,"San Juan-Carolina, PR CSA"
163,927,"San Juan-Carolina, PR CSA"
164,934,"San Juan-Carolina, PR CSA"
165,949,"San Juan-Carolina, PR CSA"
166,952,"San Juan-Carolina, PR CSA"
167,953,"San Juan-Carolina, PR CSA"
168,956,"San Juan-Carolina, PR CSA"
169,957,"San Juan-Carolina, PR CSA"
170,959,"San Juan-Carolina, PR CSA"
171,961,"San Juan-Carolina, PR CSA"
172,962,"San Juan-Carolina, PR CSA"
173,965,"San Juan-Carolina, PR CSA"
174,966,"San Juan-Carolina, PR CSA"
175,968,"San Juan-Carolina, PR CSA"
176,969,"San Juan-Carolina, PR CSA"
177,976,"San Juan-Carolina, PR CSA"
178,979,"San Juan-Carolina, PR CSA"
179,982,"San Juan-Carolina, PR CSA"
180,983,"San Juan-Carolina, PR CSA"
181,985,"San Juan-Carolina, PR CSA"
182,987,"San Juan-Carolina, PR CSA"
183,1001,"Springfield-Greenfield Town, MA CSA"
184,1001,"Hartford-West Hartford, CT CSA"
185,1002,"Springfield-Greenfield Town, MA CSA"
186,1003,"Springfield-Greenfield Town, MA CSA"
187,1005,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
188,1007,"Springfield-Greenfield Town, MA CSA"
189,1008,"Springfield-Greenfield Town, MA CSA"
190,1010,"Springfield-Greenfield Town, MA CSA"
191,1010,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
192,1011,"Springfield-Greenfield Town, MA CSA"
193,1012,"Springfield-Greenfield Town, MA CSA"
194,1013,"Springfield-Greenfield Town, MA CSA"
195,1020,"Springfield-Greenfield Town, MA CSA"
196,1022,"Springfield-Greenfield Town, MA CSA"
197,1026,"Springfield-Greenfield Town, MA CSA"
198,1027,"Springfield-Greenfield Town, MA CSA"
199,1028,"Springfield-Greenfield Town, MA CSA"
200,1028,"Hartford-West Hartford, CT CSA"
201,1030,"Springfield-Greenfield Town, MA CSA"
202,1030,"Hartford-West Hartford, CT CSA"
203,1031,"Springfield-Greenfield Town, MA CSA"
204,1031,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
205,1032,"Springfield-Greenfield Town, MA CSA"
206,1033,"Springfield-Greenfield Town, MA CSA"
207,1034,"Springfield-Greenfield Town, MA CSA"
208,1034,"Hartford-West Hartford, CT CSA"
209,1034,"New York-Newark, NY-NJ-CT-PA CSA"
210,1035,"Springfield-Greenfield Town, MA CSA"
211,1036,"Springfield-Greenfield Town, MA CSA"
212,1036,"Hartford-West Hartford, CT CSA"
213,1037,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
214,1038,"Springfield-Greenfield Town, MA CSA"
215,1039,"Springfield-Greenfield Town, MA CSA"
216,1040,"Springfield-Greenfield Town, MA CSA"
217,1050,"Springfield-Greenfield Town, MA CSA"
218,1053,"Springfield-Greenfield Town, MA CSA"
219,1054,"Springfield-Greenfield Town, MA CSA"
220,1056,"Springfield-Greenfield Town, MA CSA"
221,1057,"Springfield-Greenfield Town, MA CSA"
222,1057,"Hartford-West Hartford, CT CSA"
223,1060,"Springfield-Greenfield Town, MA CSA"
224,1062,"Springfield-Greenfield Town, MA CSA"
225,1063,"Springfield-Greenfield Town, MA CSA"
226,1068,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
227,1069,"Springfield-Greenfield Town, MA CSA"
228,1069,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
229,1070,"Springfield-Greenfield Town, MA CSA"
230,1071,"Springfield-Greenfield Town, MA CSA"
231,1072,"Springfield-Greenfield Town, MA CSA"
232,1073,"Springfield-Greenfield Town, MA CSA"
233,1075,"Springfield-Greenfield Town, MA CSA"
234,1077,"Springfield-Greenfield Town, MA CSA"
235,1077,"Hartford-West Hartford, CT CSA"
236,1080,"Springfield-Greenfield Town, MA CSA"
237,1081,"Springfield-Greenfield Town, MA CSA"
238,1081,"Hartford-West Hartford, CT CSA"
239,1082,"Springfield-Greenfield Town, MA CSA"
240,1082,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
241,1083,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
242,1084,"Springfield-Greenfield Town, MA CSA"
243,1085,"Springfield-Greenfield Town, MA CSA"
244,1088,"Springfield-Greenfield Town, MA CSA"
245,1089,"Springfield-Greenfield Town, MA CSA"
246,1092,"Springfield-Greenfield Town, MA CSA"
247,1092,"Boston-Worcester-Providence, MA-RI-NH-CT CSA"
248,1095,"Springfield-Greenfield Town, MA CSA"
249,1096,"Springfield-Greenfield Town, MA CSA"
250,1098,"Springfield-Greenfield Town, MA CSA"
251,1103,"Springfield-Greenfield Town, MA CSA"
252,1104,"Springfield-Greenfield Town, MA CSA"
253,1105,"Springfield-Greenfield Town, MA CSA"
254,1106,"Springfield-Greenfield Town, MA CSA"
255,1106,"Hartford-West Hartford, CT CSA"
256,1107,"Springfield-Greenfield Town, MA CSA"
257,1108,"Springfield-Greenfield Town, MA CSA"
258,1109,"Springfield-Greenfield Town, MA CSA"
259,1118,"Springfield-Greenfield Town, MA CSA"
260,1119,"Springfield-Greenfield Town, MA CSA"
261,1128,"Springfield-Greenfield Town, MA CSA"
262,1129,"Springfield-Greenfield Town, MA CSA"
263,1151,"Springfield-Greenfield Town, MA CSA"
264,1201,"Albany-Schenectady, NY CSA"
265,1222,"New York-Newark, NY-NJ-CT-PA CSA"
266,1223,"Springfield-Greenfield Town, MA CSA"
267,1235,"Springfield-Greenfield Town, MA CSA"
268,1243,"Springfield-Greenfield Town, MA CSA"
269,1247,"Springfield-Greenfield Town, MA CSA"
270,1253,"Springfield-Greenfield Town, MA CSA"
271,1255,"Springfield-Greenfield Town, MA CSA"
272,1255,"New York-Newark, NY-NJ-CT-PA CSA"
273,1256,"Springfield-Greenfield Town, MA CSA"
274,1257,"New York-Newark, NY-NJ-CT-PA CSA"
275,1258,"Albany-Schenectady, NY CSA"
276,1259,"New York-Newark, NY-NJ-CT-PA CSA"
277,1267,"Albany-Schenectady, NY CSA"
278,1270,"Springfield-Greenfield Town, MA CSA"
279,1301,"Springfield-Greenfield Town, MA CSA"
280,1330,"Springfield-Greenfield Town, MA CSA"
